Species,Authority,Common Name
Rosa stylosa x canina = R. x andegavensis,Bastard,
Rosa stylosa x caesia,,
Rosa stylosa x obtusifolia,,
Rosa stylosa x sherardii,,
Rosa stylosa x rubiginosa = R. x bengyana,Rouy,
Rosa stylosa x agrestis,,
Rosa canina,L.,Dog-rose 
Rosa canina x caesia = R. x dumalis,Bechst.,
Rosa canina x obtusifolia = R. x dumetorum,Thuill.,
Rosa canina x tomentosa = R. x scabriuscula,Sm.,
Rosa canina x sherardii = R. x rothschildii,Druce,
Rosa canina x mollis = R. x molletorum,Hesl.-Harr.,
Rosa canina x rubiginosa = R. x nitidula,Besser,
Rosa canina x micrantha = R. x toddiae,Wolley-Dod,
Rosa canina x agrestis = R. x belnensis,Ozanon,
Rosa caesia,Sm.,
Rosa caesia subsp. caesia,,Hairy Dog-rose
Rosa caesia subsp. vosagiaca,(N.H.F. Desp.) D.H. Kent,Glaucous Dog-rose
Rosa caesia x obtusifolia,,
Rosa caesia x tomentosa = R. x cottetii,(H. Christ) Lagger & Puget ex Cottet,
Rosa caesia x sherardii,,
Rosa caesia x mollis = R. x glaucoides,Wolley-Dod,
Rosa caesia x rubiginosa,,
Rosa caesia x micrantha = R. x longicolla,Ravaud ex Rouy,
Rosa obtusifolia,Desv.,Round-leaved Dog-rose
Rosa obtusifolia x tomentosa,,
Rosa obtusifolia x sherardii,,
Rosa obtusifolia x rubiginosa = R. x timbalii,Crép.,
Rosa obtusifolia x micrantha,,
Rosa tomentosa,Sm.,Harsh Downy-rose
Rosa tomentosa x sherardii = R. x suberectiformis,Wolley-Dod,
Rosa tomentosa x mollis,,
Rosa tomentosa x rubiginosa = R. x avrayensis,Rouy,
Rosa tomentosa x micrantha,,
Rosa tomentosa x agrestis,,
Rosa sherardii,Davies,Sherard's Downy-rose
Rosa sherardii x mollis = R. x perthensis,Rouy,
Rosa sherardii x rubiginosa = R. x suberecta,(Woods) Ley,
Rosa sherardii x micrantha,,
Rosa sherardii x agrestis,,
Rosa mollis,Sm.,Soft Downy-rose
Rosa mollis x rubiginosa = R. x molliformis,Wolley-Dod,
Rosa rubiginosa,L.,Sweet-briar 
Rosa rubiginosa x micrantha = R. x bigeneris,Duffort ex Rouy,
Rosa micrantha,Borrer ex Sm.,Small-flowered Sweet-briar
Rosa micrantha x agrestis = R. x bishopii,Wolley-Dod,
Rosa agrestis,Savi,Small-leaved Sweet-briar
Rosa 'Hollandica',"hort., nom. nud.",Dutch Rose
Rosa canina agg.,,
Rosa tomentosa agg.,,
Rosa rubiginosa agg.,,
Rosa blanda,Aiton,Smooth Rose
Rosa carolina,L.,Pasture Rose
Rosa centifolia,L.,Cabbage Rose
Rosa chinensis,Jacq.,China Rose
Rosa damascena,Mill.,Damask Rose
Rosa davurica,Pall.,
Rosa filipes,Rehder & E.H. Wilson,
Rosa foetida,Herrm.,Austrian Briar
Rosa gigantea,Collett ex Crép.,
Rosa majalis,Herrm.,Cinnamon Rose
Rosa noisettiana,Thory,Noisette Rose
Rosa palustris,Marshall,Swamp Rose
Rosa pendulina,L.,Alpine Rose
Rosa sempervirens,L.,
Rosa sericea,Lindl.,Silky Rose
Rosa villosa,L.,Apple Rose
Rosa willmottiae,Hemsl.,Miss Willmott's Rose
Prunus persica,(L.) Batsch,Peach 
Prunus dulcis,(Mill.) D.A. Webb,Almond 
Prunus cerasifera,Ehrh.,Cherry Plum
Prunus spinosa,L.,Blackthorn 
Prunus spinosa x domestica = P. x fruticans,Weihe,
Prunus domestica,L.,Wild Plum
Prunus domestica subsp. domestica,,
Prunus domestica subsp. insititia,(L.) Bonnier & Layens,
Prunus domestica subsp. italica,(Borkh.) Gams ex Hegi,
Prunus avium,(L.) L.,Wild Cherry
Prunus cerasus,L.,Dwarf Cherry
Prunus mahaleb,L.,St Lucie Cherry
Prunus pensylvanica,L. f.,Pin Cherry
Prunus incisa,Thunb.,Fuji Cherry
Prunus padus,L.,Bird Cherry
Prunus serotina,Ehrh.,Rum Cherry
Prunus lusitanica,L.,Portugal Laurel
Prunus laurocerasus,L.,Cherry Laurel
Prunus armeniaca,L.,Apricot 
Prunus cornuta,(Wall. ex Royle) Steud.,
Prunus pumila,L.,
Prunus serrulata,Lindl.,Japanese Cherry
Oemleria cerasiformis,(Torr. & A. Gray ex Hook. & Arn.) J.W. Landon,Osoberry 
Cydonia oblonga,Mill.,Quince 
Chaenomeles speciosa,(Sweet) Nakai,Japanese Quince
Chaenomeles speciosa x japonica = C. x superba,(Frahm) Rehder,
Chaenomeles x superba x cathayensis = C. x californica,W.B. Clarke ex J.G.C. Weber,
Chaenomeles cathayensis,(Hemsl.) C.K. Schneid.,
Chaenomeles japonica,(Thunb.) Spach,Japanese Quince
Pyrus cordata,Desv.,Plymouth Pear
Pyrus pyraster,(L.) Burgsd.,Wild Pear
Pyrus communis,L.,Pear 
Pyrus communis agg.,,
Pyrus amygdaliformis,Vill.,Almond-leaved Pear
Pyrus salicifolia,Pall.,Willow-leaved Pear
Malus sylvestris,(L.) Mill.,Crab Apple
Malus pumila,Mill.,Apple 
Malus sylvestris agg.,,
Malus baccata,(L.) Borkh.,Siberian Crab
Malus baccata x prunifolia = M. x robusta,(Carrière) Rehder,
Malus floribunda,Siebold ex Van Houtte,Japanese Crab
Malus hupehensis,(Pamp.) Rehder,Hupeh Crab
Malus atrosanguinea x niedzwetskyana = M. x purpurea,(E. Barbier) Rehder,Purple Crab
Malus prunifolia,(Willd.) Borkh.,Plum-leaved Apple
Malus sieboldii,(Regel) Rehder,Siebold's Crab
Malus spectabilis,(Aiton) Borkh.,Chinese Crab
Sorbus aucuparia,L.,Rowan 
Sorbus aucuparia x intermedia,,
Sorbus aucuparia x aria = S. x thuringiaca,(Ilse) Fritsch,
Sorbus pseudofennica,E.F. Warb.,Arran Service-tree
Sorbus hybrida,L.,Swedish Service-tree
Sorbus arranensis,Hedl.,Arran Whitebeam
Sorbus leyana,Wilmott,Ley's Whitebeam
Sorbus minima,(Ley) Hedl.,Least Whitebeam
Sorbus intermedia,(Ehrh.) Pers.,Swedish Whitebeam
Sorbus anglica,Hedl.,English Whitebeam
Sorbus aria,(L.) Crantz,Common Whitebeam
Sorbus aria x rupicola,,
Sorbus aria x torminalis = S. x tomentella,Gand.,
Sorbus leptophylla,E.F. Warb.,Thin-leaved Whitebeam
Sorbus wilmottiana,E.F. Warb.,Wilmott's Whitebeam
Sorbus eminens,E.F. Warb.,Round-leaved Whitebeam
Sorbus hibernica,E.F. Warb.,Irish Whitebeam
Sorbus porrigentiformis,E.F. Warb.,Grey-leaved Whitebeam
Sorbus porrigentiformis x torminalis,,
Sorbus lancastriensis,E.F. Warb.,Lancastrian Whitebeam
Sorbus rupicola,(Syme) Hedl.,Rock Whitebeam
Sorbus vexans,E.F. Warb.,Bloody Whitebeam
Sorbus decipiens,(Bechst.) Irmisch,Sharp-toothed Whitebeam
Sorbus subcuneata,Wilmott,Somerset Whitebeam
Sorbus devoniensis,E.F. Warb.,Devon Whitebeam
Sorbus croceocarpa,P.D. Sell,Orange Whitebeam
Sorbus bristoliensis,Wilmott,Bristol Whitebeam
Sorbus latifolia,(Lam.) Pers.,Broad-leaved Whitebeam
Sorbus torminalis,(L.) Crantz,Wild Service-tree
Sorbus aria agg.,,
Sorbus intermedia agg.,,
Sorbus latifolia agg.,,
Sorbus domestica,L.,Service-tree 
Sorbus hupehensis,C.K. Schneid.,Hupeh Rowan
Sorbus pseudomeinichii,Ashley Robertson,False Rowan
Sorbus sargentiana,Koehne,Sargent's Rowan
Sorbus vilmorinii,C.K. Schneid.,Vilmorin's Rowan
Sorbus whiteana,T.C.G. Rich & L. Houston,White's Whitebeam
Aronia arbutifolia,(L.) Pers.,Red Chokeberry
Aronia melanocarpa,(Michx.) Elliott,Black Chokeberry
Amelanchier lamarckii,F.G. Schroed.,Juneberry 
Amelanchier ovalis,Medik.,Snowy Mespilus
Amelanchier spicata,(Lam.) K. Koch,Low Juneberry
Photinia davidiana,(Decne.) Cardot,Stranvaesia 
Cotoneaster monopyrenus,(W.W. Sm.) Flinck & B. Hylmö,One-stoned Cotoneaster
Cotoneaster ellipticus,(Lindl.) Loudon,Lindley's Cotoneaster
Cotoneaster hissaricus,Pojark.,Circular-leaved Cotoneaster
Cotoneaster ignotus,G. Klotz,Black-grape Cotoneaster
Cotoneaster affinis,Lindl.,Purpleberry Cotoneaster
Cotoneaster obtusus,Wall. ex Lindl.,Dartford Cotoneaster
Cotoneaster bacillaris,Wall. ex Lindl.,Open-fruited Cotoneaster
Cotoneaster transens,G. Klotz,Godalming Cotoneaster
Cotoneaster frigidus,Wall. ex Lindl.,Tree Cotoneaster
Cotoneaster frigidus x salicifolius = C. x watereri,Exell,Waterer's Cotoneaster
Cotoneaster salicifolius,Franch.,Willow-leaved Cotoneaster
Cotoneaster salicifolius x dammeri = C. 'Hybridus Pendulus',"hort., nom. nud.",Weeping Cotoneaster
Cotoneaster dammeri,C.K. Schneid.,Bearberry Cotoneaster
Cotoneaster dammeri x conspicuus = C. x suecicus,G. Klotz,Swedish Cotoneaster
Cotoneaster pannosus,Franch.,Silverleaf Cotoneaster
Cotoneaster lacteus,W.W. Sm.,Late Cotoneaster
Cotoneaster prostratus,Baker,Procumbent Cotoneaster
Cotoneaster congestus,Baker,Congested Cotoneaster
Cotoneaster integrifolius,(Roxb.) G. Klotz,Entire-leaved Cotoneaster
Cotoneaster thymifolius,Wall. ex Lindl.,Thyme-leaved Cotoneaster
Cotoneaster conspicuus,C. Marquand,Tibetan Cotoneaster
Cotoneaster cashmiriensis,G. Klotz,Kashmir Cotoneaster
Cotoneaster nitidus,Jacques,Distichous Cotoneaster
Cotoneaster horizontalis,Decne.,Wall Cotoneaster
Cotoneaster hjelmqvistii,Flinck & B. Hylmö,Hjelmqvist's Cotoneaster
Cotoneaster atropurpureus,Flinck & B. Hylmö,Purple-flowered Cotoneaster
Cotoneaster adpressus,Bois,Creeping Cotoneaster
Cotoneaster nanshan,M. Vilm. ex Mottet,Dwarf Cotoneaster
Cotoneaster divaricatus,Rehder & E.H. Wilson,Spreading Cotoneaster
Cotoneaster nitens,Rehder & E.H. Wilson,Few-flowered Cotoneaster
Cotoneaster lucidus,Schltdl.,Shiny Cotoneaster
Cotoneaster villosulus,(Rehder & E.H. Wilson) Flinck & B. Hylmö,Lleyn Cotoneaster
Cotoneaster laetevirens,(Rehder & E.H. Wilson) G. Klotz,Ampfield Cotoneaster
Cotoneaster cambricus,J. Fryer & B. Hylmö,Wild Cotoneaster
Cotoneaster mucronatus,Franch.,Mucronate Cotoneaster
Cotoneaster simonsii,Baker,Himalayan Cotoneaster
Cotoneaster bullatus,Bois,Hollyberry Cotoneaster
Cotoneaster rehderi,Pojark.,Bullate Cotoneaster
Cotoneaster moupinensis,Franch.,Moupin Cotoneaster
Cotoneaster dielsianus,E. Pritz. ex Diels,Diels' Cotoneaster
Cotoneaster splendens,Flinck & B. Hylmö,Showy Cotoneaster
Cotoneaster franchetii,Bois,Franchet's Cotoneaster
Cotoneaster sternianus,(Turrill) Boom,Stern's Cotoneaster
Cotoneaster insculptus,Diels,Engraved Cotoneaster
Cotoneaster amoenus,E.H. Wilson,Beautiful Cotoneaster
Cotoneaster zabelii,C.K. Schneid.,Cherryred Cotoneaster
Cotoneaster acuminatus,Lindl.,
Cotoneaster apiculatus,Rehder & E.H. Wilson,Apiculate Cotoneaster
Cotoneaster ascendens,Flinck & B. Hylmö,Ascending Cotoneaster
Cotoneaster astrophoros,J. Fryer & E.C. Nelson,Starry Cotoneaster
Cotoneaster boisianus,G. Klotz,Bois's Cotoneaster
Cotoneaster bradyi,E.C. Nelson J. Fryer,Brady's Cotoneaster
Cotoneaster buxifolius,Wall. ex Lindl.,Box-leaved Cotoneaster
Cotoneaster calocarpus,(Rehder & E.H. Wilson) Flinck & B. Hylmö,Sikang Cotoneaster
Cotoneaster cinerascens,(Rehder) Flinck & B. Hylmö,
Cotoneaster cochleatus,(Franch.) G. Klotz,Yunnan Cotoneaster
Cotoneaster cooperi,C. Marquand,Cooper's Cotoneaster
Cotoneaster fangianus,T.T. Yu,Fang's Cotoneaster
Cotoneaster foveolatus,Rehder & E.H. Wilson,
Cotoneaster glabratus,Rehder & E.H. Wilson,Glabrous Cotoneaster
Cotoneaster glaucophyllus,Franch.,Glaucous Cotoneaster
Cotoneaster henryanus,(C.K. Schneid.) Rehder & E.H. Wilson,Henry's Cotoneaster
Cotoneaster hodjingensis,G. Klotz,Earthquake Cotoneaster
Cotoneaster hsingshangensis,J. Fryer & B. Hylmö,Hsing-Shan Cotoneaster
Cotoneaster hummelii,J. Fryer & B. Hylmö,Hummel's Cotoneaster
Cotoneaster hupehensis,Rehder & E.H. Wilson,
Cotoneaster hurusawaianus,G. Klotz,Hurusawa's Cotoneaster
Cotoneaster hylmoei,Flinck & J. Fryer,Hylmö's Cotoneaster
Cotoneaster ignescens,J. Fryer & B. Hylmö,Firebird Cotoneaster
Cotoneaster induratus,J. Fryer & B. Hylmö,Hardy Cotoneaster
Cotoneaster lidjiangensis,G. Klotz,Lidjiang Cotoneaster
Cotoneaster mairei,H. Lév.,Maire's Cotoneaster
Cotoneaster marginatus,(Loudon) Schltdl.,Fringed Cotoneaster
Cotoneaster microphyllus,Wall. ex Lindl.,Small-leaved Cotoneaster
Cotoneaster newryensis,Lemoine,
Cotoneaster obscurus,Rehder & E.H. Wilson,Obscure Cotoneaster
Cotoneaster perpusillus,(C.K. Schneid.) Flinck & B. Hylmö,Slender Cotoneaster
Cotoneaster pseudoambiguus,J. Fryer & B. Hylmö,Kangting Cotoneaster
Cotoneaster radicans,G. Klotz,Rooting Cotoneaster
Cotoneaster rotundifolius,Wall. ex Lindl.,Round-leaved Cotoneaster
Cotoneaster sanguineus,T.F. Yu,
Cotoneaster serotinus,Hutch.,Yuletide Cotoneaster
Cotoneaster shannanensis,J. Fryer & B. Hylmö,Shannan Cotoneaster
Cotoneaster sherriffii,G. Klotz,Sherriff's Cotoneaster
Cotoneaster silvestrei,Pamp.,
Cotoneaster tengyuehensis,J. Fryer & B. Hylmö,Tengyueh Cotoneaster
Cotoneaster tomentellus,Pojark.,Short-felted Cotoneaster
Cotoneaster turbinatus,Craib,
Cotoneaster veitchii,(Rehder & E.H. Wilson) G. Klotz,Many-flowered Cotoneaster
Cotoneaster vestitus,(W.W. Sm.) Flinck & B. Hylmö,
Cotoneaster vilmorinianus,G. Klotz,Vilmorin's Cotoneaster
Cotoneaster wardii,W.W. Sm.,Ward's Cotoneaster
Pyracantha coccinea,M. Roem.,Firethorn 
Pyracantha rogersiana,(A.B. Jacks.) Coltm.-Rog.,Asian Firethorn
Pyracantha atalantoides,(Hance) Stapf,Gigg's Firethorn
Pyracantha crenulata,(D. Don) M. Roem.,Nepalese Firethorn
Mespilus germanica,L.,Medlar 
Mespilus germanica x Crataegus laevigata = X Crataemespilus grandiflora,(Sm.) E.G. Camus,Haw-medlar 
Crataegus submollis,Sarg.,Hairy Cockspurthorn
Crataegus coccinioides,Ashe,Large-flowered Cockspurthorn
Crataegus coccinea,L.,Pear-fruited Cockspurthorn
Crataegus crus-galli,L.,Cockspurthorn 
Crataegus persimilis,Sarg.,Broad-leaved Cockspurthorn
Crataegus succulenta,Schrad.,Round-fruited Cockspurthorn
Crataegus monogyna,Jacq.,Hawthorn 
Crataegus monogyna x laevigata = C. x media,Bechst.,
Crataegus monogyna x heterophylla,,
Crataegus laevigata,(Poir.) DC.,Midland Hawthorn
Crataegus heterophylla,Flüggé,Various-leaved Hawthorn
Crataegus orientalis,Pall. ex M. Bieb.,Oriental Hawthorn
Crataegus douglasii,Lindl.,Black Hawthorn
Crataegus elliptica,Aiton,
Crataegus intricata,Lange,Lange's Thorn
Crataegus x lavallei,Hérincq,Hybrid Cockspurthorn
Crataegus mollis,(Torr. & A. Gray) Scheele,
Crataegus nigra,Waldst. & Kit.,Hungarian Thorn
Crataegus punctata,Jacq.,Dotted Hawthorn
Crataegus sanguinea,Pall.,
Crataegus tanacetifolia,(Lam.) Pers.,Tansy-leaved Thorn
Crataegus viridis,L.,Southern Thorn
Eriobotrya japonica,(Thunb.) Lindl.,Loquat 
Margyricarpus pinnatus,(Lam.) Kuntze,Pearl-fruit 
Neillia sinensis,Oliv.,
Stephanandra incisa,(Thunb.) Zabel,Lace-shrub 
Waldsteinia fragarioides,(Michx.) Tratt.,
Waldsteinia ternata,(Stephan) Fritsch,
Acacia melanoxylon,R. Br.,Australian Blackwood
Acacia falciformis,DC.,Hickory Wattle
Acacia micrantha,(Cav.) Domin,
Caesalpinia spinosa,(Molina) Kuntze,Tara 
Cassia fistula,L.,Purging Cassia
Cercis siliquastrum,L.,Judas-tree 
Ceratonia siliqua,L.,Carob 
Chamaecrista nictitans,(L.) Moench,Sensitive Cassia
Senna obtusifolia,(L.) Irwin & Barneby,American Sicklepod
Senna occidentalis,(L.) Link,Coffee Senna
Robinia pseudoacacia,L.,False-acacia 
Galega officinalis,L.,Goat's-rue 
Colutea arborescens,L.,Bladder-senna 
Colutea arborescens x orientalis = C. x media,Willd.,Orange Bladder-senna
Astragalus cicer,L.,Chick-pea Milk-vetch
Astragalus danicus,Retz.,Purple Milk-vetch
Astragalus alpinus,L.,Alpine Milk-vetch
Astragalus glycyphyllos,L.,Wild Liquorice
Astragalus odoratus,Lam.,Lesser Milk-vetch
Astragalus boeticus,L.,
Astragalus cruciatus,L.,
Astragalus hamosus,L.,
Astragalus hispidulus,DC.,
Astragalus nuttallianus,DC.,
Astragalus scorpioides,Pourr. ex Willd.,
Astragalus sesameus,L.,
Astragalus stella,Gouan,
Astragalus tribuloides,Delile,
Oxytropis halleri,Bunge ex W.D.J. Koch,Purple Oxytropis
Oxytropis campestris,(L.) DC.,Yellow Oxytropis
Onobrychis viciifolia,Scop.,Sainfoin 
Onobrychis aequidentata,(Sibth. & Sm.) d'Urv.,
Onobrychis alba,(Waldst. & Kit.) Desv.,
Onobrychis caput-galli,(L.) Lam.,Cockscomb Sainfoin
Onobrychis crista-galli,(L.) Lam.,
Anthyllis vulneraria,L.,Kidney Vetch
Anthyllis vulneraria subsp. vulneraria,,
Anthyllis vulneraria subsp. polyphylla,(DC.) Nyman,
Anthyllis vulneraria subsp. corbierei,(C.E. Salmon & Travis) Cullen,
Anthyllis vulneraria subsp. carpatica,(Pant.) Nyman,
Anthyllis vulneraria subsp. lapponica,(Hyl.) Jalas,
Anthyllis tetraphylla,L.,Bladder Vetch
Lotus tenuis,Waldst. & Kit. ex Willd.,Narrow-leaved Bird's-foot-trefoil
Lotus corniculatus,L.,Common Bird's-foot-trefoil
Lotus pedunculatus,Cav.,Greater Bird's-foot-trefoil
Lotus subbiflorus,Lag.,Hairy Bird's-foot-trefoil
Lotus angustissimus,L.,Slender Bird's-foot-trefoil
Lotus americanus,(Nutt.) Bisch.,Prairie Trefoil
Lotus borbasii,Ujhelyi,
Lotus conimbricensis,Brot.,
Lotus creticus,L.,Cretan Bird's-foot-trefoil
Lotus cytisoides,L.,
Lotus edulis,L.,
Lotus jacobaeus,L.,St James' Trefoil
Lotus ornithopodioides,L.,Southern Bird's-foot-trefoil
Lotus palustris,Willd.,
Tetragonolobus maritimus,(L.) Roth,Dragon's-teeth 
Tetragonolobus biflorus,(Desr.) Ser.,
Tetragonolobus purpureus,Moench,Asparagus-pea 
Ornithopus compressus,L.,Yellow Serradella
Ornithopus sativus,Brot.,Serradella 
Ornithopus perpusillus,L.,Bird's-foot 
Ornithopus pinnatus,(Mill.) Druce,Orange Bird's-foot
Coronilla valentina,L.,Shrubby Scorpion-vetch
Coronilla valentina subsp. glauca,(L.) Battand.,
Coronilla scorpioides,(L.) W.D.J. Koch,Annual Scorpion-vetch
Coronilla coronata,L.,Scorpion-vetch 
Hippocrepis emerus,(L.) Lassen,Scorpion Senna
Hippocrepis comosa,L.,Horseshoe Vetch
Hippocrepis multisiliquosa,L.,
Hippocrepis unisiliquosa,L.,
Securigera varia,(L.) Lassen,Crown Vetch
Securigera cretica,(L.) Lassen,
Securigera securidaca,(L.) Degen & Dörfl.,Hatchet Vetch
Vicia orobus,DC.,Wood Bitter-vetch
Vicia cracca,L.,Tufted Vetch
Vicia cracca subsp. cracca,,
Vicia cracca subsp. gerardii,Gaudin,
Vicia tenuifolia,Roth,Fine-leaved Vetch
Vicia sylvatica,L.,Wood Vetch
Vicia villosa,Roth,Fodder Vetch
Vicia hirsuta,(L.) Gray,Hairy Tare
Vicia parviflora,Cav.,Slender Tare
Vicia tetrasperma,(L.) Schreb.,Smooth Tare
Vicia sepium,L.,Bush Vetch
Vicia pannonica,Crantz,Hungarian Vetch
Vicia sativa,L.,
Vicia sativa subsp. nigra,(L.) Ehrh.,Narrow-leaved Vetch
Vicia sativa subsp. segetalis,(Thuill.) Gaudin,Common Vetch
Vicia sativa subsp. sativa,,
Vicia lathyroides,L.,Spring Vetch
Vicia lutea,L.,Yellow-vetch 
Vicia lutea subsp. lutea,,
Vicia lutea subsp. vestita,(Boiss.) Rouy,
Vicia bithynica,(L.) L.,Bithynian Vetch
Vicia altissima,Desf.,
Vicia amoena,Fisch.,
Vicia articulata,Hornem.,
Vicia benghalensis,L.,Purple Vetch
Vicia cassubica,L.,Danzig Vetch
Vicia cretica,Boiss. & Heldr.,
Vicia ervilia,(L.) Willd.,Ervil 
Vicia faba,L.,Broad Bean
Vicia grandiflora,Scop.,
Vicia hookeri,G. Don,Hooker's Vetch
Vicia hybrida,L.,Hairy Yellow-vetch
Vicia hyrcanica,Fisch. & C.A. Mey.,
Vicia leucantha,Biv.,
Vicia melanops,Sibth. & Sm.,Black-eyed Vetch
Vicia monantha,Retz.,
Vicia narbonensis,L.,Narbonne Vetch
Vicia onobrychioides,L.,
Vicia palaestina,Boiss.,
Vicia peregrina,L.,
Vicia pubescens,(DC.) Link,
Vicia pyrenaica,Pourr.,Pyrenean Vetch
Lathyrus niger,(L.) Bernh.,Black Pea
Lathyrus japonicus,Willd.,Sea Pea
Lathyrus japonicus subsp. maritimus,(L.) P.W. Ball,
Lathyrus linifolius,(Reichard) Bässler,Bitter-vetch 
Lathyrus pratensis,L.,Meadow Vetchling
Lathyrus palustris,L.,Marsh Pea
Lathyrus palustris subsp. palustris,,
Lathyrus palustris subsp. pilosus,(Cham.) Hultén,
Lathyrus tuberosus,L.,Tuberous Pea
Lathyrus grandiflorus,Sm.,Two-flowered Everlasting-pea
Lathyrus sylvestris,L.,Narrow-leaved Everlasting-pea
Lathyrus latifolius,L.,Broad-leaved Everlasting-pea
Lathyrus heterophyllus,L.,Norfolk Everlasting-pea
Lathyrus hirsutus,L.,Hairy Vetchling
Lathyrus nissolia,L.,Grass Vetchling
Lathyrus aphaca,L.,Yellow Vetchling
Lathyrus angulatus,L.,Angular Pea
Lathyrus annuus,L.,Fodder Pea
Lathyrus blepharicarpus,Boiss.,
Lathyrus cicera,L.,Red Vetchling
Lathyrus clymenum,L.,
Lathyrus gorgoni,Parl.,
Lathyrus hierosolymitanus,Boiss.,
Lathyrus inconspicuus,L.,
Lathyrus marmoratus,Boiss. & Balansa,
Lathyrus ochrus,(L.) DC.,Winged Vetchling
Lathyrus odoratus,L.,Sweet Pea
Lathyrus rotundifolius,Willd.,Round-leaved Vetchling
Lathyrus sativus,L.,Indian Pea
Lathyrus saxatilis,(Vent.) Vis.,
Lathyrus setifolius,L.,Brown Vetchling
Lathyrus sphaericus,Retz.,Round-seeded Vetchling
Lathyrus tingitanus,L.,Tangier Pea
Ononis natrix,L.,Yellow Restharrow
Ononis reclinata,L.,Small Restharrow
Ononis spinosa,L.,Spiny Restharrow
Ononis spinosa x repens = O. x pseudohircina,Schur,
Ononis repens,L.,Common Restharrow
Ononis repens subsp. repens,,
Ononis repens subsp. maritima,(Gren. & Godr.) Asch. & Graebn.,
Ononis alopecuroides,L.,Salzmann's Restharrow
Ononis baetica,Clemente,Andalucian Restharrow
Ononis mitissima,L.,Mediterranean Restharrow
Ononis serrata,Forssk.,
Ononis viscosa,L.,
Melilotus altissimus,Thuill.,Tall Melilot
Melilotus albus,Medik.,White Melilot
Melilotus officinalis,(L.) Pall.,Ribbed Melilot
Melilotus indicus,(L.) All.,Small Melilot
Melilotus elegans,Salzm. ex Ser.,
Melilotus infestus,Guss.,
Melilotus messanensis,(L.) All.,Sicilian Melilot
Melilotus neapolitanus,Ten.,
Melilotus polonicus,(L.) Pall.,
Melilotus sulcatus,Desf.,Furrowed Melilot
Melilotus wolgicus,Poir.,
Medicago lupulina,L.,Black Medick
Medicago sativa,L.,
Medicago sativa subsp. falcata,(L.) Arcang.,Sickle Medick
Medicago sativa subsp. varia,(Martyn) Arcang.,Sand Lucerne
Medicago sativa subsp. sativa,,Lucerne 
Medicago minima,(L.) Bartal.,Bur Medick
Medicago polymorpha,L.,Toothed Medick
Medicago arabica,(L.) Huds.,Spotted Medick
Medicago arborea,L.,Tree Medick
Medicago blancheana,Boiss.,
Medicago coronata,(L.) Bartal.,
Medicago disciformis,DC.,
Medicago doliata,Carmign.,
Medicago glutinosa,M. Bieb.,
Medicago intertexta,(L.) Mill.,Hedgehog Medick
Medicago laciniata,(L.) Mill.,Tattered Medick
Medicago littoralis,Rohde ex Loisel.,Shore Medick
Medicago marina,L.,Sea Medick
Medicago murex,Willd.,
Medicago noeana,Boiss.,
Medicago orbicularis,(L.) Bartal.,Button Medick
Medicago praecox,DC.,Early Medick
Medicago prostrata,DC.,
Medicago radiata,L.,
Medicago rigidula,(L.) All.,
Medicago rotata,Boiss.,
Medicago rugosa,Desr.,
Medicago scutellata,(L.) Mill.,Snail Medick
Medicago soleirolii,Duby,
Medicago tenoreana,Ser.,
Medicago tornata,(L.) Mill.,
Medicago truncatula,Gaertn.,Strong-spined Medick
Medicago turbinata,(L.) All.,
Trifolium ornithopodioides,L.,Bird's-foot Clover
Trifolium repens,L.,White Clover
Trifolium occidentale,Coombe,Western Clover
